date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:47:05	374/374	---M--	200	added ('OK')	text/plain	date:Sat,%2029%20Oct%202022%2010:17:56%20GMT	https://www.staxcycleclub.com/robots.txt		(from )
15:47:09	1163705/1163705	---MCZ	200	added ('OK')	text/html	date:Sat,%2029%20Oct%202022%2010:17:57%20GMT	https://www.staxcycleclub.com/	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day6/Web29/Site29/www.staxcycleclub.com/index.html	(from )
15:47:09	137771/137771	---M-Z	200	added ('OK')	application/javascript	etag:W/%2218eb21e8d1074fd7a594d3748ba0cb33%22	https://static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day6/Web29/Site29/static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	(from https://www.staxcycleclub.com/)
15:47:10	1171/1171	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c187011c9a45c15a6fcbf5d62a5d755f%22	https://static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day6/Web29/Site29/static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	(from https://www.staxcycleclub.com/)
15:47:10	65588/65588	---M-Z	200	added ('OK')	text/javascript	date:Wed,%2026%20Oct%202022%2016:31:52%20GMT	https://polyfill.io/v3/polyfill.min.js?features=fetch	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day6/Web29/Site29/polyfill.io/v3/polyfill.mind82c.js	(from https://www.staxcycleclub.com/)
15:47:10	65254/65254	---M-Z	200	added ('OK')	application/javascript	etag:%225b6773578af8dd5591339930c2b29024%22	https://browser.sentry-cdn.com/6.18.2/bundle.min.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day6/Web29/Site29/browser.sentry-cdn.com/6.18.2/bundle.min.js	(from https://www.staxcycleclub.com/)
15:47:12	2865/2865	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2029%20Oct%202022%2010:18:03%20GMT	https://www.staxcycleclub.com/decodeURIComponent(e	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day6/Web29/Site29/www.staxcycleclub.com/decodeURIComponent(e.4.delayed	(from https://www.staxcycleclub.com/)
15:47:14	1080/1080	---MCZ	200	added ('OK')	text/xml	date:Sat,%2029%20Oct%202022%2010:18:05%20GMT	https://www.staxcycleclub.com/sitemap.xml	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day6/Web29/Site29/www.staxcycleclub.com/sitemap.xml	(from https://www.staxcycleclub.com/)
15:47:15	2865/2865	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2029%20Oct%202022%2010:18:06%20GMT	https://www.staxcycleclub.com/feed.xml	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day6/Web29/Site29/www.staxcycleclub.com/feed.6.delayed	(from https://www.staxcycleclub.com/)
15:47:15	90316/90316	---M-Z	200	added ('OK')	application/javascript	etag:W/%229ecd1d6eae0ad89fe0948e04cbb4eedb%22	https://static.parastorage.com/services/wix-thunderbolt/dist/ab-test-compilation/thunderbolt-commons.7ca534fa.bundle.min.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day6/Web29/Site29/static.parastorage.com/services/wix-thunderbolt/dist/ab-test-compilation/thunderbolt-commons.7ca534fa.bundle.min.js	(from https://www.staxcycleclub.com/)
15:47:15	171637/171637	---M-Z	200	added ('OK')	application/javascript	etag:W/%2246b9d4ddc65f6e9e57211e2a070f0fd1%22	https://static.parastorage.com/services/wix-thunderbolt/dist/ab-test-compilation/main.c16c2c7f.bundle.min.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day6/Web29/Site29/static.parastorage.com/services/wix-thunderbolt/dist/ab-test-compilation/main.c16c2c7f.bundle.min.js	(from https://www.staxcycleclub.com/)
15:47:15	73015/73015	---M-Z	200	added ('OK')	application/javascript	etag:W/%229becc40fb1d85d21d0ca38e2f7069511%22	https://static.parastorage.com/unpkg/lodash@4.17.21/lodash.min.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day6/Web29/Site29/static.parastorage.com/unpkg/lodash@4.17.21/lodash.min.js	(from https://www.staxcycleclub.com/)
15:47:15	12463/12463	---M-Z	200	added ('OK')	application/javascript	etag:W/%2263d498e143f421cc44dfb64f22fef270%22	https://static.parastorage.com/unpkg/react@16.14.0/umd/react.production.min.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day6/Web29/Site29/static.parastorage.com/unpkg/react@16.14.0/umd/react.production.min.js	(from https://www.staxcycleclub.com/)
15:47:16	13067/13067	---M-Z	200	added ('OK')	application/javascript	etag:W/%22274bf36a3feec6d7f062db07a6894a9c%22	https://static.parastorage.com/services/wix-code-platform/1.1097.93/elementory-browser-support.min.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day6/Web29/Site29/static.parastorage.com/services/wix-code-platform/1.1097.93/elementory-browser-support.min.js	(from https://www.staxcycleclub.com/)
15:47:16	11216/11216	---M-Z	200	added ('OK')	application/javascript	etag:W/%2274b64900831a2e814a8ff0cdedcf80cb%22	https://static.parastorage.com/services/tag-manager-client/1.427.0/siteTags.bundle.min.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day6/Web29/Site29/static.parastorage.com/services/tag-manager-client/1.427.0/siteTags.bundle.min.js	(from https://www.staxcycleclub.com/)
15:47:16	11592/11592	---MCZ	200	added ('OK')	application/javascript	etag:W/%22ddbb39a9e8e67d5067145f8aa76b938d%22	https://script.tapfiliate.com/tapfiliate.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day6/Web29/Site29/script.tapfiliate.com/tapfiliate.js	(from https://www.staxcycleclub.com/)
15:47:16	41172/41172	---M-Z	200	added ('OK')	application/javascript	etag:W/%2272cd3e3e90088aa5acd84acd0d7346c6%22	https://static.parastorage.com/services/wix-perf-measure/1.1042.0/wix-perf-measure.bundle.min.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day6/Web29/Site29/static.parastorage.com/services/wix-perf-measure/1.1042.0/wix-perf-measure.bundle.min.js	(from https://www.staxcycleclub.com/)
15:47:16	118656/118656	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c5abc87541fe6bb0f43f22af475a8b20%22	https://static.parastorage.com/unpkg/react-dom@16.14.0/umd/react-dom.production.min.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day6/Web29/Site29/static.parastorage.com/unpkg/react-dom@16.14.0/umd/react-dom.production.min.js	(from https://www.staxcycleclub.com/)
15:47:18	2865/2865	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2029%20Oct%202022%2010:18:09%20GMT	https://www.staxcycleclub.com/eec152dc.min.css	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day6/Web29/Site29/www.staxcycleclub.com/eec152dc.min.10.delayed	(from https://www.staxcycleclub.com/)
15:47:18	2865/2865	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2029%20Oct%202022%2010:18:09%20GMT	https://www.staxcycleclub.com/b604fd33.min.css	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day6/Web29/Site29/www.staxcycleclub.com/b604fd33.min.11.delayed	(from https://www.staxcycleclub.com/)
15:47:19	2865/2865	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2029%20Oct%202022%2010:18:10%20GMT	https://www.staxcycleclub.com/5563c182.min.css	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day6/Web29/Site29/www.staxcycleclub.com/5563c182.min.12.delayed	(from https://www.staxcycleclub.com/)
15:47:20	2865/2865	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2029%20Oct%202022%2010:18:11%20GMT	https://www.staxcycleclub.com/7c602eb2.min.css	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day6/Web29/Site29/www.staxcycleclub.com/7c602eb2.min.13.delayed	(from https://www.staxcycleclub.com/)
15:47:21	2865/2865	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2029%20Oct%202022%2010:18:12%20GMT	https://www.staxcycleclub.com/caeea34d.min.css	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day6/Web29/Site29/www.staxcycleclub.com/caeea34d.min.14.delayed	(from https://www.staxcycleclub.com/)
15:47:22	2865/2865	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2029%20Oct%202022%2010:18:13%20GMT	https://www.staxcycleclub.com/d85988d5.min.css	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day6/Web29/Site29/www.staxcycleclub.com/d85988d5.min.15.delayed	(from https://www.staxcycleclub.com/)
15:47:23	2865/2865	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2029%20Oct%202022%2010:18:14%20GMT	https://www.staxcycleclub.com/b6457402.min.css	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day6/Web29/Site29/www.staxcycleclub.com/b6457402.min.16.delayed	(from https://www.staxcycleclub.com/)
15:47:23	2865/2865	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2029%20Oct%202022%2010:18:14%20GMT	https://www.staxcycleclub.com/99a6a99f.min.css	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day6/Web29/Site29/www.staxcycleclub.com/99a6a99f.min.17.delayed	(from https://www.staxcycleclub.com/)
15:47:24	2865/2865	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2029%20Oct%202022%2010:18:15%20GMT	https://www.staxcycleclub.com/2b8b066f.min.css	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day6/Web29/Site29/www.staxcycleclub.com/2b8b066f.min.18.delayed	(from https://www.staxcycleclub.com/)
15:47:25	2865/2865	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2029%20Oct%202022%2010:18:16%20GMT	https://www.staxcycleclub.com/34b72cf9.min.css	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day6/Web29/Site29/www.staxcycleclub.com/34b72cf9.min.19.delayed	(from https://www.staxcycleclub.com/)
15:47:26	2865/2865	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2029%20Oct%202022%2010:18:17%20GMT	https://www.staxcycleclub.com/d078781b.min.css	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day6/Web29/Site29/www.staxcycleclub.com/d078781b.min.1a.delayed	(from https://www.staxcycleclub.com/)
15:47:27	2865/2865	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2029%20Oct%202022%2010:18:18%20GMT	https://www.staxcycleclub.com/7a36fe10.chunk.min.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day6/Web29/Site29/www.staxcycleclub.com/7a36fe10.chunk.min.1b.delayed	(from https://www.staxcycleclub.com/)
15:47:28	2865/2865	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2029%20Oct%202022%2010:18:19%20GMT	https://www.staxcycleclub.com/e3671379.chunk.min.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day6/Web29/Site29/www.staxcycleclub.com/e3671379.chunk.min.1c.delayed	(from https://www.staxcycleclub.com/)
15:47:28	2865/2865	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2029%20Oct%202022%2010:18:19%20GMT	https://www.staxcycleclub.com/rb_wixui.thunderbolt~bootstrap-classic.db545a77.chunk.min.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day6/Web29/Site29/www.staxcycleclub.com/rb_wixui.thunderbolt_bootstrap-classic.db545a77.chunk.min.1d.delayed	(from https://www.staxcycleclub.com/)
15:47:29	2865/2865	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2029%20Oct%202022%2010:18:20%20GMT	https://www.staxcycleclub.com/rb_wixui.thunderbolt~bootstrap.8a86afda.chunk.min.css	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day6/Web29/Site29/www.staxcycleclub.com/rb_wixui.thunderbolt_bootstrap.8a86afda.chunk.min.1e.delayed	(from https://www.staxcycleclub.com/)
15:47:30	2865/2865	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2029%20Oct%202022%2010:18:21%20GMT	https://www.staxcycleclub.com/rb_wixui.thunderbolt~bootstrap.7a36fe10.chunk.min.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day6/Web29/Site29/www.staxcycleclub.com/rb_wixui.thunderbolt_bootstrap.7a36fe10.chunk.min.1f.delayed	(from https://www.staxcycleclub.com/)
15:47:31	2865/2865	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2029%20Oct%202022%2010:18:22%20GMT	https://www.staxcycleclub.com/rb_wixui.thunderbolt~bootstrap-responsive.f3ca696f.chunk.min.css	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day6/Web29/Site29/www.staxcycleclub.com/rb_wixui.thunderbolt_bootstrap-responsive.f3ca696f.chunk.min.20.delayed	(from https://www.staxcycleclub.com/)
15:47:32	2865/2865	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2029%20Oct%202022%2010:18:23%20GMT	https://www.staxcycleclub.com/rb_wixui.thunderbolt~bootstrap-responsive.e3671379.chunk.min.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day6/Web29/Site29/www.staxcycleclub.com/rb_wixui.thunderbolt_bootstrap-responsive.e3671379.chunk.min.21.delayed	(from https://www.staxcycleclub.com/)
15:47:33	2865/2865	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2029%20Oct%202022%2010:18:24%20GMT	https://www.staxcycleclub.com/rb_wixui.thunderbolt~common-site-members-dialogs.384b0b57.chunk.min.css	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day6/Web29/Site29/www.staxcycleclub.com/rb_wixui.thunderbolt_common-site-members-dialogs.384b0b57.chunk.min.22.delayed	(from https://www.staxcycleclub.com/)
15:47:33	2865/2865	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2029%20Oct%202022%2010:18:24%20GMT	https://www.staxcycleclub.com/rb_wixui.thunderbolt~common-site-members-dialogs.2059cbfd.chunk.min.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day6/Web29/Site29/www.staxcycleclub.com/rb_wixui.thunderbolt_common-site-members-dialogs.2059cbfd.chunk.min.23.delayed	(from https://www.staxcycleclub.com/)
15:47:34	2865/2865	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2029%20Oct%202022%2010:18:25%20GMT	https://www.staxcycleclub.com/rb_wixui.corvid~core.3ae99ef5.chunk.min.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day6/Web29/Site29/www.staxcycleclub.com/rb_wixui.corvid_core.3ae99ef5.chunk.min.24.delayed	(from https://www.staxcycleclub.com/)
15:47:35	4728/4728	---M--	200	added ('OK')	image/png	date:Sat,%2029%20Oct%202022%2010:18:26%20GMT	https://static.wixstatic.com/media/85bcec_56554c28031a4267a4981afb87d33aa4~mv2.png/v1/fill/w_138,h_58,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/Stax%20Cycle%20Club%20Logo%20Black_Symbols%20Horizontal.png	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day6/Web29/Site29/static.wixstatic.com/media/85bcec_56554c28031a4267a4981afb87d33aa4_mv2.png/v1/fill/w_138,h_58,al_c,q_85,usm_0.66_1.00_0.01,enc_aut/Stax%20Cycle%20Club%20Logo%20Black_Symb	(from https://www.staxcycleclub.com/)
